Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price,PriceMtsq,RemainSquare
14038,35,2.0,47.981561235175036,29.44275054713416,6.0,7.0,9.0,1969,0.089039719,1,1,33,7976,5,900.0,0,11,1,184966.9307298416,3854.9585709237676,12.538810688040876
15053,41,3.0,65.68363987232783,40.04954252356546,8.0,7.0,9.0,1978,6.99893e-05,1,1,46,10309,1,240.0,1,16,1,300009.4500627274,4567.491245093434,17.634097348762374
4765,53,2.0,44.947952764125006,29.1976116880482,0.0,8.0,12.0,1968,0.049637257,1,1,34,7759,0,229.0,1,3,1,220925.90852358093,4915.149521557562,15.750341076076804
5809,58,2.0,61.73151204863503,52.73151204863503,9.0,8.0,17.0,1977,0.43788524,1,1,23,5735,3,1084.0,0,5,1,175616.22721724625,2844.839230227949,0.0
10783,99,1.0,39.649191950029994,23.7761691108976,7.0,11.0,12.0,1976,0.012338886,1,1,35,5776,1,2078.0,2,4,1,150226.5316437466,3788.8926420764788,8.873022839132393
12915,59,3.0,80.38447920267191,46.68372012823429,12.0,5.0,17.0,2011,0.309479124,1,1,35,7715,4,990.0,0,6,1,215898.44774214894,2685.8225603204837,21.70075907443762
14549,154,2.0,62.254113586402504,37.16037741888674,7.0,3.0,5.0,1960,0.460556389,1,1,20,4386,14,900.0,1,5,1,296021.2043771131,4755.046491285514,18.093736167515765
11993,74,2.0,80.31292563185586,80.31292563185586,0.0,7.0,13.0,1977,0.075778755,1,1,6,1437,3,900.0,0,2,1,221244.15666358554,2754.776456254879,0.0
5172,1,2.0,64.51143730838427,63.511437308384274,1.0,9.0,17.0,1977,0.007122317,1,1,1,264,0,900.0,0,1,1,229102.7959994131,3551.3515983876177,0.0
8649,23,1.0,46.46140869718414,18.915552483878766,8.0,13.0,17.0,2014,0.075778755,1,1,6,1437,3,900.0,0,2,1,95380.22099316985,2052.8912847825577,19.545856213305374
15370,28,2.0,46.30490677332586,27.922584447134266,6.0,8.0,9.0,1973,0.118537385,1,1,30,6207,1,1183.0,1,0,1,204243.55312879704,4410.840391680746,12.382322326191595
12427,31,3.0,68.80885909839964,45.736905639421956,7.0,1.0,8.0,1959,0.0,1,1,23,3684,2,900.0,0,4,1,165534.5414246522,2405.7155371219087,16.07195345897768
6452,13,2.0,54.5228049029371,31.75975305618809,1.0,8.0,12.0,1999,0.090799103,1,1,74,19083,2,900.0,5,15,1,229220.37260914012,4204.119230791668,21.763051846749008
2408,57,3.0,68.10273923286483,39.3114930561345,8.0,6.0,12.0,1980,0.13321533300000002,1,1,49,11395,3,1406.0,3,4,0,252481.9083226248,3707.367885149365,20.791246176730333
10953,27,1.0,53.769097136525275,52.40802696611313,1.0,7.0,4.0,1977,0.072157581,1,1,2,629,1,900.0,0,0,0,140647.56593684404,2615.769529842121,0.3610701704121482
2823,85,3.0,73.6122247317727,53.89208948435271,6.0,4.0,9.0,1979,0.037177818,1,1,52,11217,1,2300.0,1,7,1,89084.32787608178,1210.183881830581,13.72013524741999
2119,27,2.0,49.36064780032354,31.993963547007414,5.0,7.0,5.0,1983,0.051815435,1,1,5,1227,0,900.0,0,0,1,117000.38128669599,2370.3169731481744,12.366684253316127
3000,34,2.0,57.969964222530145,32.01248263525128,9.0,6.0,14.0,2001,0.069753361,1,1,53,13670,4,900.0,1,11,1,231828.43766693235,3999.1130023301234,16.957481587278863
2829,57,1.0,44.51348081256669,23.113423134573804,8.0,6.0,12.0,1983,0.13321533300000002,1,1,49,11395,3,1406.0,3,4,0,183743.23046424173,4127.810881335724,13.400057677992887
4909,19,3.0,110.95979224728356,56.996764901321505,11.0,16.0,25.0,2012,0.000991363,1,1,33,6783,3,900.0,1,9,1,394895.32598680095,3558.9046986204007,42.963027345962054
8862,0,3.0,103.60529197422831,47.799426262469524,10.0,12.0,17.0,2002,0.319809354,1,1,25,4756,16,2857.0,5,8,1,521919.0573998705,5037.5714160401885,45.805865711758784
11935,27,2.0,64.71183493873933,63.71183493873933,1.0,7.0,1.0,1977,0.211401214,1,1,9,1892,0,900.0,0,1,1,127200.02651097006,1965.6377636546135,0.0
11852,48,1.0,41.668649656506325,20.207761889892915,10.0,19.0,22.0,1996,0.041124634,1,1,46,9515,5,900.0,1,10,1,215083.96905610108,5161.769599666327,11.46088776661341
