Id,Price
725,169402.93000720904
15856,225560.11329107208
5480,289946.29972528276
15664,336475.16902280407
14275,139776.4659225823
7633,209521.54509002998
13329,169386.81531242921
5502,228871.4529752799
4220,301238.8081784369
11538,205878.8788417378
15975,267950.9755652244
3310,220269.86904656666
9286,155230.23333409976
11260,182775.5064656664
5214,108119.1684383204
11307,185155.5331223783
13543,374706.6005124597
615,183854.26072458443
3495,216256.4071683305
2321,238493.01689394712
12046,182588.20397108298
16688,150679.94304245783
12694,234331.98584175322
783,166945.39905967616
8968,169164.65146354923
13454,179927.7934008952
12190,258623.6543609983
11160,140848.57049124074
10291,196039.88912478014
891,335273.31762977544
2982,178786.99533000588
3818,245791.12273563634
2449,202685.99803882634
8317,167985.2641971227
4922,184211.41595950603
1257,245421.74662948935
9348,236237.58094947878
4176,186713.3538246644
10704,175702.1098337283
6624,121856.39484209851
5428,165644.0522729703
12749,183656.3322506139
8994,191990.8836388999
11513,141181.851128837
3047,177396.16244298976
9519,212948.57954927871
12309,230068.97936007177
14081,277702.75731552264
8334,256410.8932444291
6343,181664.62153237363
14788,130781.3724780964
15748,363833.43658285553
153,257283.95337762378
14149,185758.48024953704
269,194639.56268804363
5452,135836.05144704817
721,170932.39990846603
5079,353502.24438566744
2831,117322.92913370764
10614,112592.99968191389
10131,277290.6921244046
9996,328515.584093168
3061,186316.26931588267
11733,333348.9090575248
3726,266631.2512156729
10929,212617.76792016454
9011,320775.3509181422
16182,296070.3942877733
4976,201726.8801718548
9897,240826.47533156566
1872,201863.0313683996
9205,376995.6552704323
5403,402341.27554188756
14074,200639.02507499594
6268,153583.9755588199
14232,167783.85960547693
8532,256774.13525684734
7034,289473.69648177054
6553,428034.1158210273
3133,181173.79945524517
8596,211363.98524096966
12389,251584.32784550384
14462,179025.67402560837
8860,318718.26459218183
8377,294992.7043633506
6367,337226.36283622315
6917,256862.55548869216
4216,197816.18877416314
5806,169268.82010981973
5438,183692.09499739602
6632,194728.33561777696
2650,153186.90992505147
5396,221140.5323885944
4044,151522.2725951523
1345,233138.24806966432
856,165848.48686250963
12791,274718.847868306
12499,218379.7228077276
12249,127912.6971763814
14641,137932.12237040623
1919,166116.30329932482
7848,204299.70926381656
10749,183326.60344102676
15554,186429.51162575625
15834,171601.2331391665
1355,141690.2015480678
15451,173666.02331476056
12401,201819.17101874956
10290,174143.9982240594
9462,115259.62249042465
3103,242403.93819913428
3420,138897.66054186365
12262,233409.96196014978
5032,138199.40589907253
8949,287082.0748543871
15567,229746.85535958115
16389,165194.26364302772
7809,88359.22378328697
8990,173067.13552767548
16089,258646.18500383545
12743,99559.46287254491
5132,120700.06571307464
1619,280143.21531115787
2428,87032.60821472389
16741,161732.19033877028
13193,218607.7196274732
12588,452622.42038664385
5067,178082.00300955735
14685,125993.75734706724
2292,178777.27287241604
5746,124111.37064804429
12578,160621.70217150467
14834,177709.0556986135
2147,176710.85982360155
8222,130528.87420490524
10419,261515.90539738882
11492,213530.83471259061
3006,209682.85195000214
8761,198854.5874150528
15371,332518.4412571146
16367,158511.92920280842
6317,269876.5062453754
10878,297272.7475981386
3895,164631.70435005773
8041,174038.53499854592
13428,425357.1138832648
14669,153348.8165433267
1006,179380.33237572774
12271,181265.11973309692
3764,428002.9560125867
7675,203605.50263768912
11709,266611.4558764678
8629,153157.85552726168
1105,327385.65475803846
6096,179621.280792866
11727,213414.82927459836
5157,165365.13625234363
3679,155318.32723524357
1755,148515.39452957612
7391,189479.14543298833
7425,100468.33604476062
6882,366659.10887694784
10752,362040.0159462722
7472,192513.07650470213
14320,98766.42123267648
9596,162540.98802078038
5317,213048.3635875842
7378,88298.12669890294
16154,180709.4159198816
3464,189174.84162106298
4197,237126.62524291017
9477,109618.23075804509
12705,188937.16287619155
16426,202161.00817053503
1481,67296.80910527776
9946,256982.63266426005
12025,222894.6362293725
5341,233055.0500266127
9923,297547.8250207478
7953,268285.0218013556
11066,236576.571267567
5037,174926.64444650273
2509,192045.260792069
4937,341013.98142393155
12089,371483.8145607314
